location,places,category,img_1,img_2,img_3
Dhanushkoti,Haunted Beach,Beach,https://peopleplaces.in/wp-content/uploads/2023/02/cropped-Dhanushkodi.jpeg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/f1/d7/a9/church-of-dhanushkodi.jpg?w=700&h=-1&s=1,https://static.india.com/wp-content/uploads/2018/08/dhanushkodi.jpg?impolicy=Medium_Resize&w=1200&h=800
Dharamshala,Dharamshala,Hill,https://img.veenaworld.com/wp-content/uploads/2018/06/travel-dglobe.jpg?imwidth=1080,https://www.shutterstock.com/image-photo/gyuto-monastery-located-town-dharamshala-260nw-1468897493.jpg,https://traveltohimachalpradesh.com/uploads/tour-package-images/dharamshala-dalhousie-khajjiar-chamba-dharamshala-4-night-5-days-tour-package.webp
Haryana,Kurukshetra,Devotional,https://www.thestatesman.com/wp-content/uploads/2019/11/9-3.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDz9W3nQ5fsLK82IA0HvKYaQrEqJ3RNo5Rqw&usqp=CAU,"https://static.toiimg.com/thumb/msid-95084381,width-400,resizemode-4/95084381.jpg"
Haryana,Sultanpur Bird Sanctuary,Wildlife,"https://static.toiimg.com/thumb/msid-54550966,width-400,resizemode-4/54550966.jpg",https://www.ghoomakard.com/wp-content/uploads/2021/04/Sultanpur-Bird-Sanctuary.jpg,https://www.holidify.com/images/cmsuploads/compressed/sultanpur-birds-santuary-gurgaon_20171013182929.jpg
Haryana,Pinjore Gardens,Garden,https://en-media.thebetterindia.com/uploads/2017/09/Untitled-design-32.jpg,https://www.oyorooms.com/travel-guide/wp-content/uploads/2020/01/generic-6.jpg,https://haryanatourism.gov.in/WriteReadData/mediafiles/image/pinjora_image_1168px_X_500px.jpg
Haryana,Surajkund,Lake,"https://static.toiimg.com/thumb/msid-97760873,width-1280,resizemode-4/97760873.jpg",https://www.holidify.com/images/cmsuploads/compressed/SurajkundMela_20190314152311.JPG,https://www.jagranimages.com/images/16_05_2018-lake2_17960789.jpg
Haryana,Faridabad,City,https://www.nobroker.in/blog/wp-content/uploads/2020/05/blog_faridabad.png,https://www.constructionworld.in/assets/uploads/cacacf1c897481c46b55d9094cb6f1b3.jpg,https://www.shutterstock.com/image-photo/faridabad-haryanaindiafebruary-6-2016-metro-260nw-1838715385.jpg
Himachal,Rohtang Pass,Hill,https://img.traveltriangle.com/blog/wp-content/uploads/2020/01/Rohtang-pass-in-summer_16th-jan.jpg,https://www.kullumanalitrips.com/images/destination/himachal/solang-valley.jpg,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2019/06/Rohtang-pass.jpg
Himachal,Hadimba Devi ,Devotional,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF/lossy-page1-1200px-Hidimba_Devi_Temple_-_North-east_View_-_Manali_2014-05-11_2648-2649.TIF.jpg,https://www.manoramaonline.com/content/dam/mm/mo/travel/travel-india/images/2022/2/4/hidimba-devi-temple1.png,https://mysterioushimachal.files.wordpress.com/2015/09/indians-temples-11aa-hadimba-temple-in-manali5.jpg
Himachal,Dalhousie ,Treaking,https://www.trawell.in/admin/images/upload/912016283Dalhousie_Khajjiar_Main.jpg,https://vargiskhan.com/log/wp-content/uploads/2020/06/dalousie.jpg,https://www.oyorooms.com/travel-guide/wp-content/uploads/2022/11/dalhousie-the-ultimate-winter-destination-in-india.jpg
Himachal,Spiti Valley,Valley,"https://images.thrillophilia.com/image/upload/s--izEC-jr0--/c_fill,g_center,h_642,q_auto,w_1280/f_auto,fl_strip_profile/v1/images/photos/000/110/596/original/1685714722_1qpoy0zzvawzvr8ar2qv68nl84fk_244.jpg.jpg",https://instahimachal.com/wp-content/uploads/2022/09/Spiti-Winter-Trip-Himachal-Pradesh-Insta-Himachal-jpeg.webp,https://imgnew.outlookindia.com/public/uploads/articles/2021/2/3/spiti-1.jpg
Himachal,Kufri,Hill Station,"https://images.thrillophilia.com/image/upload/s--jYR4CMAx--/c_fill,g_auto,h_600,q_auto,w_975/f_auto,fl_strip_profile/v1/images/photos/000/142/708/original/1608625451_shutterstock_1276130605.jpg.jpg",https://images.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/12/16/Pictures/_403f0b48-3f9c-11eb-bd1a-21d65ef31d5e.jpg,https://img.traveltriangle.com/blog/wp-content/uploads/2020/01/Kufri-In-Summer_20th-jan1.jpg
Himachal,Chail,Hill Station,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cc/b0/dc/caption.jpg?w=300&h=300&s=1,https://www.holidify.com/images/bgImages/CHAIL.jpg,https://pickyourtrail.com/blog/wp-content/uploads/2020/07/spiti-5089812_1920.jpg
